video,frame,predicted,actual,state,conditions
video (43),118,False,False,normal,""
video (43),119,False,False,normal,""
video (43),120,False,False,normal,""
video (43),121,False,False,normal,""
video (43),122,False,False,normal,""
video (43),123,False,False,normal,""
video (43),124,False,False,normal,""
video (43),125,False,False,normal,""
video (43),126,False,False,normal,""
video (43),127,False,False,normal,""
video (43),128,False,False,normal,""
video (43),129,False,False,normal,""
video (43),130,False,False,normal,""
video (43),131,False,False,normal,""
video (43),132,False,False,normal,""
video (43),133,False,False,normal,""
video (43),134,False,False,normal,""
video (43),135,False,False,normal,""
video (43),136,False,False,normal,""
video (43),137,False,False,normal,""
video (43),138,False,False,normal,""
video (43),139,False,False,normal,""
video (43),140,False,False,normal,""
video (43),141,False,False,normal,""
video (43),142,False,False,normal,""
video (43),143,False,False,normal,""
video (43),144,False,False,normal,""
video (43),145,False,False,normal,""
video (43),146,False,False,normal,""
video (43),147,False,False,normal,""
video (43),148,False,False,normal,""
video (43),149,False,False,normal,""
video (43),150,False,False,normal,""
video (43),151,False,False,normal,""
video (43),152,False,False,normal,""
video (43),153,False,False,normal,""
video (43),154,False,False,normal,""
video (43),155,False,False,normal,""
video (43),156,False,False,normal,""
video (43),157,False,False,normal,""
video (43),158,False,False,normal,""
video (43),159,False,False,normal,""
video (43),160,False,False,normal,""
video (43),161,False,False,normal,""
video (43),162,False,False,normal,""
video (43),163,False,False,normal,""
video (43),164,False,False,normal,""
video (43),165,False,False,normal,""
video (43),166,False,False,normal,""
video (43),167,False,False,normal,""
video (43),168,False,False,normal,""
video (44),1,False,False,low_confidence,"Low confidence"
video (44),2,False,False,low_confidence,"Low confidence"
video (44),3,False,False,low_confidence,"Low confidence"
video (44),4,False,False,low_confidence,"Low confidence"
video (44),5,False,False,low_confidence,"Low confidence"
video (44),6,False,False,low_confidence,"Low confidence"
video (44),7,False,False,low_confidence,"Low confidence"
video (44),8,False,False,low_confidence,"Low confidence"
video (44),8,False,False,normal,""
video (44),9,False,False,low_confidence,"Low confidence"
video (44),10,False,False,low_confidence,"Low confidence"
video (44),11,False,False,low_confidence,"Low confidence"
video (44),12,False,False,low_confidence,"Low confidence"
video (44),13,False,False,low_confidence,"Low confidence"
video (44),14,False,False,low_confidence,"Low confidence"
video (44),15,False,False,low_confidence,"Low confidence"
video (44),16,False,False,low_confidence,"Low confidence"
video (44),17,False,False,low_confidence,"Low confidence"
video (44),18,False,False,low_confidence,"Low confidence"
video (44),19,False,False,normal,""
video (44),20,False,False,low_confidence,"Low confidence"
video (44),20,False,False,normal,""
video (44),21,False,False,low_confidence,"Low confidence"
video (44),21,False,False,normal,""
video (44),22,False,False,low_confidence,"Low confidence"
video (44),22,False,False,normal,""
video (44),23,False,False,normal,""
video (44),23,False,False,low_confidence,"Low confidence"
video (44),24,False,False,low_confidence,"Low confidence"
video (44),25,False,False,low_confidence,"Low confidence"
video (44),25,False,False,normal,""
video (44),26,False,False,low_confidence,"Low confidence"
video (44),27,False,False,low_confidence,"Low confidence"
video (44),27,False,False,normal,""
video (44),28,False,False,low_confidence,"Low confidence"
video (44),28,False,False,normal,""
video (44),29,False,False,low_confidence,"Low confidence"
video (44),30,False,False,low_confidence,"Low confidence"
video (44),30,False,False,normal,""
video (44),31,False,False,low_confidence,"Low confidence"
video (44),32,False,False,low_confidence,"Low confidence"
video (44),32,False,False,normal,""
video (44),33,False,False,low_confidence,"Low confidence"
video (44),34,False,False,low_confidence,"Low confidence"
video (44),35,False,False,low_confidence,"Low confidence"
video (44),36,False,False,low_confidence,"Low confidence"
video (44),37,False,False,normal,""
video (44),38,False,False,normal,""
video (44),39,False,False,normal,""
video (44),40,False,False,normal,""
video (44),41,False,False,normal,""
video (44),42,False,False,normal,""
video (44),43,False,False,normal,""
video (44),44,False,False,normal,""
video (44),45,False,False,normal,""
video (44),46,False,False,normal,""
video (44),47,False,False,normal,""
video (44),48,False,False,normal,""
video (44),49,False,False,low_confidence,"Low confidence"
video (44),50,False,False,low_confidence,"Low confidence"
video (44),51,False,False,low_confidence,"Low confidence"
video (44),52,False,False,normal,""
video (44),53,False,False,low_confidence,"Low confidence"
video (44),54,False,False,low_confidence,"Low confidence"
video (44),55,False,False,low_confidence,"Low confidence"
video (44),56,False,False,low_confidence,"Low confidence"
video (44),57,False,False,low_confidence,"Low confidence"
video (44),58,False,False,low_confidence,"Low confidence"
video (44),59,False,False,normal,""
video (44),60,False,False,normal,""
video (44),61,False,False,normal,""
video (44),62,False,False,normal,""
video (44),63,False,False,normal,""
video (44),64,False,False,normal,""
video (44),65,False,False,normal,""
video (44),66,False,False,normal,""
video (44),67,False,False,normal,""
video (44),68,False,False,normal,""
video (44),69,False,False,normal,""
video (44),70,False,False,normal,""
video (44),71,False,False,normal,""
video (44),72,False,False,normal,""
video (44),73,False,False,normal,""
video (44),74,False,False,normal,""
video (44),75,False,False,normal,""
video (44),76,False,False,normal,""
video (44),77,False,False,normal,""
video (44),78,False,False,normal,""
video (44),79,False,False,normal,""
video (44),80,False,False,normal,""
video (44),81,False,False,normal,""
video (44),82,False,False,normal,""
video (44),83,False,False,normal,""
video (44),84,False,False,normal,""
video (44),85,False,False,normal,""
video (44),86,False,False,normal,""
video (44),87,False,False,normal,""
video (44),88,False,False,normal,""
video (44),89,False,False,normal,""
video (44),90,False,False,normal,""
video (44),91,False,False,normal,""
video (44),92,False,False,normal,""
video (44),93,False,False,normal,""
video (44),94,False,False,normal,""
video (44),95,False,False,normal,""
video (44),96,False,False,normal,""
video (44),97,False,False,normal,""
video (44),98,False,False,normal,""
video (44),99,False,False,normal,""
video (44),100,False,False,normal,""
video (44),101,False,False,normal,""
video (44),102,False,False,normal,""
video (44),103,False,False,low_confidence,"Low confidence"
video (44),104,False,False,low_confidence,"Low confidence"
video (44),105,False,False,normal,""
video (44),106,False,False,low_confidence,"Low confidence"
video (44),107,False,False,low_confidence,"Low confidence"
video (44),108,False,False,low_confidence,"Low confidence"
video (44),109,False,False,low_confidence,"Low confidence"
video (44),110,False,False,low_confidence,"Low confidence"
video (44),111,False,False,low_confidence,"Low confidence"
video (44),112,False,False,low_confidence,"Low confidence"
video (44),113,False,False,low_confidence,"Low confidence"
video (44),114,False,False,low_confidence,"Low confidence"
video (44),115,False,False,low_confidence,"Low confidence"
video (44),116,False,False,low_confidence,"Low confidence"
video (44),117,False,False,low_confidence,"Low confidence"
video (44),118,False,False,low_confidence,"Low confidence"
video (44),119,False,False,low_confidence,"Low confidence"
video (44),120,False,False,low_confidence,"Low confidence"
video (44),121,False,False,low_confidence,"Low confidence"
video (44),122,False,False,low_confidence,"Low confidence"
video (44),123,False,False,low_confidence,"Low confidence"
video (44),124,False,False,low_confidence,"Low confidence"
video (44),125,False,False,low_confidence,"Low confidence"
video (44),126,False,False,low_confidence,"Low confidence"
video (44),127,False,False,low_confidence,"Low confidence"
video (44),128,False,False,low_confidence,"Low confidence"
video (44),129,False,False,low_confidence,"Low confidence"
video (44),130,False,False,low_confidence,"Low confidence"
video (44),131,False,False,low_confidence,"Low confidence"
video (44),132,False,False,low_confidence,"Low confidence"
video (44),133,False,False,low_confidence,"Low confidence"
video (44),134,False,False,low_confidence,"Low confidence"
video (44),135,False,False,low_confidence,"Low confidence"
video (44),136,False,False,low_confidence,"Low confidence"
video (44),137,False,False,low_confidence,"Low confidence"
video (44),138,False,False,low_confidence,"Low confidence"
video (44),139,False,False,normal,""
video (44),140,False,False,low_confidence,"Low confidence"
video (44),141,False,False,low_confidence,"Low confidence"
video (44),142,False,False,low_confidence,"Low confidence"
video (44),143,False,False,low_confidence,"Low confidence"
video (44),144,False,False,low_confidence,"Low confidence"
video (44),145,False,False,low_confidence,"Low confidence"
video (44),146,False,False,low_confidence,"Low confidence"
video (44),147,False,False,low_confidence,"Low confidence"
video (44),148,False,False,low_confidence,"Low confidence"
video (44),149,False,False,low_confidence,"Low confidence"
video (44),150,False,False,low_confidence,"Low confidence"
video (44),151,False,False,low_confidence,"Low confidence"
video (44),152,False,False,low_confidence,"Low confidence"
video (44),153,False,False,low_confidence,"Low confidence"
video (44),154,False,False,low_confidence,"Low confidence"
video (44),155,False,False,low_confidence,"Low confidence"
video (44),156,False,False,low_confidence,"Low confidence"
video (44),157,False,False,low_confidence,"Low confidence"
video (44),158,False,False,low_confidence,"Low confidence"
video (44),159,False,False,low_confidence,"Low confidence"
video (44),160,False,False,low_confidence,"Low confidence"
video (44),161,False,False,low_confidence,"Low confidence"
video (44),162,False,False,low_confidence,"Low confidence"
video (44),163,False,False,low_confidence,"Low confidence"
video (44),164,False,False,low_confidence,"Low confidence"
video (44),165,False,False,low_confidence,"Low confidence"
video (44),166,False,False,low_confidence,"Low confidence"
video (44),167,False,False,low_confidence,"Low confidence"
video (44),168,False,False,low_confidence,"Low confidence"
video (44),169,False,False,low_confidence,"Low confidence"
video (44),170,False,False,low_confidence,"Low confidence"
video (44),171,False,False,low_confidence,"Low confidence"
video (44),172,False,False,low_confidence,"Low confidence"
video (44),173,False,False,low_confidence,"Low confidence"
video (44),174,False,False,low_confidence,"Low confidence"
video (44),175,False,False,low_confidence,"Low confidence"
video (44),176,False,False,low_confidence,"Low confidence"
video (44),177,False,False,low_confidence,"Low confidence"
video (44),178,False,False,low_confidence,"Low confidence"
video (44),179,False,False,low_confidence,"Low confidence"
video (44),180,False,False,low_confidence,"Low confidence"
video (44),181,False,False,low_confidence,"Low confidence"
video (44),182,False,False,low_confidence,"Low confidence"
video (44),183,False,False,low_confidence,"Low confidence"
video (44),184,False,False,low_confidence,"Low confidence"
video (44),185,False,False,low_confidence,"Low confidence"
video (44),186,False,False,normal,""
video (44),187,False,False,normal,""
video (44),188,False,False,normal,""
video (44),189,False,False,normal,""
video (44),190,False,False,normal,""
video (44),191,False,False,normal,""
video (44),192,False,False,normal,""
video (44),193,False,False,normal,""
video (44),194,False,False,normal,""
video (44),195,False,False,normal,""
video (44),196,False,False,normal,""
video (44),197,False,False,normal,""
video (44),198,False,False,normal,""
video (44),199,False,False,normal,""
video (44),200,False,False,normal,""
video (44),201,False,False,normal,""
video (44),202,False,False,normal,""
video (44),203,False,False,normal,""
video (44),204,False,False,normal,""
video (44),205,False,False,normal,""
video (44),206,False,False,normal,""
video (44),207,False,False,normal,""
video (44),208,False,False,normal,""
video (44),209,False,False,normal,""
video (44),210,False,False,normal,""
video (44),211,False,False,normal,""
video (44),212,False,False,normal,""
video (44),213,False,False,normal,""
video (44),214,False,False,normal,""
video (44),215,False,False,normal,""
video (44),216,False,False,normal,""
video (44),217,False,False,normal,""
video (44),218,False,False,normal,""
video (44),219,False,False,normal,""
video (44),220,False,False,normal,""
video (44),221,False,False,normal,""
video (44),222,False,False,normal,""
video (44),223,False,False,normal,""
video (44),224,False,False,normal,""
video (44),225,False,False,normal,""
video (44),226,False,False,normal,""
video (44),227,False,False,normal,""
video (44),228,False,False,normal,""
video (44),229,False,False,normal,""
video (44),230,False,False,normal,""
video (44),231,False,False,normal,""
video (44),232,False,False,normal,""
video (44),233,False,False,normal,""
video (44),234,False,False,normal,""
video (44),235,False,False,normal,""
video (44),236,False,False,normal,""
video (44),237,False,False,normal,""
video (44),238,False,False,normal,""
video (44),239,False,False,normal,""
video (44),240,False,False,normal,""
video (44),241,False,False,normal,""
video (44),242,False,False,normal,""
video (44),243,False,False,normal,""
video (44),244,False,False,normal,""
video (44),245,False,False,normal,""
video (44),246,False,False,normal,""
video (44),247,False,False,normal,""
video (44),248,False,False,normal,""
video (44),249,False,False,normal,""
video (44),250,False,False,normal,""
video (44),251,False,False,normal,""
video (44),252,False,False,normal,""
video (44),253,False,False,normal,""
video (44),254,False,False,normal,""
video (44),255,False,False,normal,""
video (44),256,False,False,normal,""
video (44),257,False,False,normal,""
video (44),258,False,False,normal,""
video (44),259,False,False,normal,""
video (44),260,False,False,normal,""
video (44),261,False,False,normal,""
video (44),262,False,False,normal,""
video (44),263,False,False,normal,""
video (44),264,False,False,normal,""
video (44),265,False,False,normal,""
video (44),266,False,False,normal,""
video (44),267,False,False,normal,""
video (44),268,False,False,normal,""
video (44),269,False,False,normal,""
video (44),270,False,False,normal,""
video (44),271,False,False,normal,""
video (44),272,False,False,normal,""
video (44),273,False,False,normal,""
video (44),274,False,False,normal,""
video (44),275,False,False,normal,""
video (44),276,False,False,normal,""
video (44),277,False,False,normal,""
video (44),278,False,False,normal,""
video (44),279,False,False,normal,""
video (44),280,False,False,normal,""
video (44),281,False,False,normal,""
video (44),282,False,False,normal,""
video (44),283,False,False,normal,""
video (44),284,False,False,normal,""
video (44),285,False,False,normal,""
video (44),286,False,False,normal,""
video (44),287,False,False,normal,""
video (44),288,False,False,normal,""
video (44),289,False,False,normal,""
video (44),290,False,False,normal,""
video (44),291,False,False,normal,""
video (44),292,False,False,normal,""
video (44),293,False,False,normal,""
video (44),294,False,False,normal,""
video (44),295,False,False,normal,""
video (44),296,False,False,normal,""
video (44),297,False,False,normal,""
video (44),298,False,False,normal,""
video (44),299,False,False,normal,""
video (44),300,False,False,normal,""
video (44),301,False,False,normal,""
video (44),302,False,False,normal,""
video (44),303,False,False,normal,""
video (44),304,False,False,normal,""
video (44),305,False,False,normal,""
video (44),306,False,False,normal,""
video (44),307,False,False,normal,""
video (44),308,False,False,normal,""
video (44),309,False,False,normal,""
video (44),310,False,False,normal,""
video (44),311,False,False,normal,""
video (44),312,False,False,normal,""
video (44),313,False,False,normal,""
video (44),314,False,False,normal,""
video (45),1,False,False,low_confidence,"Low confidence"
video (45),2,False,False,low_confidence,"Low confidence"
video (45),3,False,False,low_confidence,"Low confidence"
video (45),4,False,False,low_confidence,"Low confidence"
video (45),5,False,False,low_confidence,"Low confidence"
video (45),6,False,False,low_confidence,"Low confidence"
video (45),7,False,False,low_confidence,"Low confidence"
video (45),8,False,False,low_confidence,"Low confidence"
video (45),9,False,False,low_confidence,"Low confidence"
video (45),10,False,False,low_confidence,"Low confidence"
video (45),11,False,False,low_confidence,"Low confidence"
video (45),12,False,False,low_confidence,"Low confidence"
video (45),13,False,False,low_confidence,"Low confidence"
video (45),14,False,False,low_confidence,"Low confidence"
video (45),15,False,False,low_confidence,"Low confidence"
video (45),16,False,False,low_confidence,"Low confidence"
video (45),17,False,False,low_confidence,"Low confidence"
video (45),18,False,False,low_confidence,"Low confidence"
video (45),19,False,False,low_confidence,"Low confidence"
video (45),20,False,False,low_confidence,"Low confidence"
video (45),21,False,False,low_confidence,"Low confidence"
video (45),22,False,False,low_confidence,"Low confidence"
video (45),23,False,False,low_confidence,"Low confidence"
video (45),24,False,False,low_confidence,"Low confidence"
video (45),25,False,False,low_confidence,"Low confidence"
video (45),26,False,False,low_confidence,"Low confidence"
video (45),27,False,False,low_confidence,"Low confidence"
video (45),28,False,False,low_confidence,"Low confidence"
video (45),29,False,False,normal,""
video (45),30,False,False,normal,""
video (45),31,False,False,low_confidence,"Low confidence"
video (45),32,False,False,normal,""
video (45),33,False,False,normal,""
video (45),34,False,False,normal,""
video (45),35,False,False,normal,""
video (45),36,False,False,normal,""
video (45),37,False,False,normal,""
video (45),38,False,False,normal,""
video (45),39,False,False,normal,""
video (45),40,False,False,normal,""
video (45),41,False,False,normal,""
video (45),42,False,False,normal,""
video (45),43,False,False,normal,""
video (45),44,False,False,normal,""
video (45),45,False,False,normal,""
video (45),46,False,False,normal,""
video (45),47,False,False,normal,""
video (45),48,False,False,normal,""
video (45),49,False,False,normal,""
video (45),50,False,False,normal,""
video (45),51,False,False,normal,""
video (45),52,False,False,normal,""
video (45),53,False,False,normal,""
video (45),54,False,False,normal,""
video (45),55,False,False,normal,""
video (45),56,False,False,normal,""
video (45),57,False,False,normal,""
video (45),58,False,False,normal,""
video (45),59,False,False,normal,""
video (45),60,False,False,low_confidence,"Low confidence"
video (45),61,False,False,low_confidence,"Low confidence"
video (45),62,False,False,low_confidence,"Low confidence"
video (45),63,False,False,low_confidence,"Low confidence"
video (45),64,False,False,low_confidence,"Low confidence"
video (45),65,False,False,low_confidence,"Low confidence"
video (45),66,False,False,low_confidence,"Low confidence"
video (45),67,False,False,low_confidence,"Low confidence"
video (45),68,False,False,low_confidence,"Low confidence"
video (45),69,False,False,low_confidence,"Low confidence"
video (45),70,False,False,low_confidence,"Low confidence"
video (45),71,False,False,low_confidence,"Low confidence"
video (45),72,False,False,low_confidence,"Low confidence"
video (45),73,False,False,low_confidence,"Low confidence"
video (45),74,False,False,low_confidence,"Low confidence"
video (45),75,False,False,low_confidence,"Low confidence"
video (45),76,False,False,low_confidence,"Low confidence"
video (45),77,False,False,low_confidence,"Low confidence"
video (45),78,False,False,low_confidence,"Low confidence"
video (45),79,False,False,low_confidence,"Low confidence"
video (45),80,False,False,low_confidence,"Low confidence"
video (45),81,False,False,low_confidence,"Low confidence"
video (45),82,False,False,low_confidence,"Low confidence"
video (45),83,False,False,low_confidence,"Low confidence"
video (45),84,False,False,low_confidence,"Low confidence"
video (45),85,False,False,low_confidence,"Low confidence"
video (45),86,False,False,low_confidence,"Low confidence"
video (45),87,False,False,low_confidence,"Low confidence"
video (45),88,False,False,low_confidence,"Low confidence"
video (45),89,False,False,low_confidence,"Low confidence"
video (45),90,False,False,low_confidence,"Low confidence"
video (45),91,False,False,low_confidence,"Low confidence"
video (45),92,False,False,low_confidence,"Low confidence"
video (45),93,False,False,low_confidence,"Low confidence"
video (45),94,False,False,low_confidence,"Low confidence"
video (45),95,False,False,low_confidence,"Low confidence"
video (45),96,False,False,low_confidence,"Low confidence"
video (45),97,False,False,low_confidence,"Low confidence"
video (45),98,False,False,low_confidence,"Low confidence"
video (45),99,False,False,low_confidence,"Low confidence"
video (45),100,False,False,low_confidence,"Low confidence"
video (45),101,False,False,low_confidence,"Low confidence"
video (45),102,False,False,low_confidence,"Low confidence"
video (45),103,False,False,low_confidence,"Low confidence"
video (45),104,False,False,low_confidence,"Low confidence"
video (45),105,False,False,low_confidence,"Low confidence"
video (45),106,False,False,normal,""
video (45),107,False,False,normal,""
video (45),108,False,False,normal,""
video (45),109,False,False,normal,""
video (45),110,False,False,normal,""
video (45),111,False,False,normal,""
video (45),112,False,False,normal,""
video (45),113,False,False,normal,""
video (45),114,False,False,normal,""
video (45),115,False,False,normal,""
video (45),116,False,False,normal,""
video (45),117,False,False,normal,""
video (45),118,False,False,normal,""
video (45),119,False,False,normal,""
video (45),120,False,False,normal,""
video (45),121,False,False,normal,""
video (45),122,False,False,normal,""
video (45),123,False,False,normal,""
video (45),124,False,False,normal,""
video (45),125,False,False,normal,""
video (45),126,False,False,normal,""
video (45),127,False,False,normal,""
video (45),128,False,False,normal,""
video (45),129,False,False,normal,""
video (45),130,False,False,normal,""
video (45),131,False,False,normal,""
video (45),132,False,False,normal,""
video (45),133,False,False,normal,""
video (45),134,False,False,normal,""
video (45),135,False,False,normal,""
video (45),136,False,False,normal,""
video (45),137,False,False,normal,""
video (45),138,False,False,normal,""
video (45),139,False,False,normal,""
video (45),140,False,False,normal,""
video (45),141,False,False,normal,""
video (45),142,False,False,normal,""
video (45),143,False,False,normal,""
video (45),144,False,False,normal,""
video (45),145,False,False,normal,""
video (45),146,False,False,normal,""
video (45),147,False,False,normal,""
video (45),148,False,False,normal,""
video (45),149,False,False,normal,""
video (45),150,False,False,normal,""
video (45),151,False,False,normal,""
video (45),152,False,False,normal,""
video (45),153,False,False,normal,""
video (45),154,False,False,normal,""
video (45),155,False,False,normal,""
video (45),156,False,False,normal,""
video (45),157,False,False,normal,""
video (45),158,False,False,normal,""
video (45),159,False,False,normal,""
video (45),160,False,False,normal,""
video (45),161,False,False,normal,""
video (45),162,False,False,normal,""
video (45),163,False,False,normal,""
video (45),164,False,False,normal,""
video (45),165,False,False,normal,""
video (45),166,False,False,normal,""
video (45),167,False,False,normal,""
video (45),168,False,False,normal,""
video (45),169,False,False,normal,""
video (45),170,False,False,normal,""
video (45),171,False,False,normal,""
video (45),172,False,False,normal,""
video (45),173,False,False,normal,""
video (45),174,False,False,normal,""
video (45),175,False,False,normal,""
video (45),176,False,False,normal,""
video (45),177,False,False,normal,""
video (45),178,False,False,normal,""
video (45),179,False,False,normal,""
video (45),180,False,False,normal,""
video (45),181,False,False,normal,""
video (45),182,False,False,normal,""
video (45),183,False,False,normal,""
video (45),184,False,False,normal,""
video (45),185,False,False,normal,""
video (45),186,False,False,normal,""
video (45),187,False,False,normal,""
video (45),188,False,False,normal,""
video (45),189,False,False,normal,""
video (45),190,False,False,normal,""
video (45),191,False,False,normal,""
video (45),192,False,False,normal,""
video (45),193,False,False,normal,""
video (45),194,False,False,normal,""
video (45),195,False,False,normal,""
video (45),196,False,False,normal,""
video (45),197,False,False,normal,""
video (45),198,False,False,normal,""
video (45),199,False,False,normal,""
video (45),200,False,False,normal,""
video (45),201,False,False,normal,""
video (45),202,False,False,normal,""
video (45),203,False,False,normal,""
video (45),204,False,False,normal,""
video (45),205,False,False,normal,""
video (45),206,False,False,normal,""
video (45),207,False,False,normal,""
video (45),208,False,False,normal,""
video (45),209,False,False,normal,""
video (45),210,False,False,normal,""
video (45),211,False,False,normal,""
video (45),212,False,False,normal,""
video (45),213,False,False,normal,""
video (45),214,False,False,normal,""
video (45),215,False,False,normal,""
video (45),216,False,False,normal,""
video (46),1,False,False,low_confidence,"Low confidence"
video (46),2,False,False,low_confidence,"Low confidence"
video (46),3,False,False,low_confidence,"Low confidence"
video (46),4,False,False,low_confidence,"Low confidence"
video (46),5,False,False,low_confidence,"Low confidence"
video (46),6,False,False,low_confidence,"Low confidence"
video (46),7,False,False,low_confidence,"Low confidence"
video (46),8,False,False,low_confidence,"Low confidence"
video (46),9,False,False,low_confidence,"Low confidence"
video (46),10,False,False,low_confidence,"Low confidence"
video (46),11,False,False,low_confidence,"Low confidence"
video (46),12,False,False,low_confidence,"Low confidence"
video (46),13,False,False,low_confidence,"Low confidence"
video (46),14,False,False,low_confidence,"Low confidence"
video (46),15,False,False,low_confidence,"Low confidence"
video (46),16,False,False,low_confidence,"Low confidence"
video (46),17,False,False,low_confidence,"Low confidence"
video (46),18,False,False,low_confidence,"Low confidence"
video (46),19,False,False,low_confidence,"Low confidence"
video (46),20,False,False,low_confidence,"Low confidence"
video (46),21,False,False,low_confidence,"Low confidence"
video (46),22,False,False,low_confidence,"Low confidence"
video (46),23,False,False,low_confidence,"Low confidence"
video (46),24,False,False,low_confidence,"Low confidence"
video (46),25,False,False,low_confidence,"Low confidence"
video (46),26,False,False,low_confidence,"Low confidence"
video (46),27,False,False,low_confidence,"Low confidence"
video (46),28,False,False,low_confidence,"Low confidence"
video (46),29,False,False,low_confidence,"Low confidence"
video (46),30,False,False,low_confidence,"Low confidence"
video (46),31,False,False,low_confidence,"Low confidence"
video (46),32,False,False,low_confidence,"Low confidence"
video (46),33,False,False,low_confidence,"Low confidence"
video (46),34,False,False,low_confidence,"Low confidence"
video (46),35,False,False,low_confidence,"Low confidence"
video (46),36,False,False,low_confidence,"Low confidence"
video (46),37,False,False,low_confidence,"Low confidence"
video (46),38,False,False,low_confidence,"Low confidence"
video (46),39,False,False,low_confidence,"Low confidence"
video (46),40,False,False,low_confidence,"Low confidence"
video (46),45,False,False,low_confidence,"Low confidence"
video (46),46,False,False,low_confidence,"Low confidence"
video (46),47,False,False,low_confidence,"Low confidence"
video (46),48,False,False,low_confidence,"Low confidence"
video (46),49,False,False,low_confidence,"Low confidence"
video (46),50,False,False,low_confidence,"Low confidence"
video (46),51,False,False,low_confidence,"Low confidence"
video (46),52,False,False,low_confidence,"Low confidence"
video (46),53,False,False,low_confidence,"Low confidence"
video (46),54,False,False,low_confidence,"Low confidence"
video (46),55,False,False,low_confidence,"Low confidence"
video (46),56,False,False,low_confidence,"Low confidence"
video (46),57,False,False,low_confidence,"Low confidence"
video (46),58,False,False,low_confidence,"Low confidence"
video (46),59,False,False,low_confidence,"Low confidence"
video (46),60,False,False,low_confidence,"Low confidence"
video (46),61,False,False,low_confidence,"Low confidence"
video (46),62,False,False,normal,""
video (46),63,False,False,low_confidence,"Low confidence"
video (46),64,False,False,normal,""
video (46),65,False,False,normal,""
video (46),66,False,False,normal,""
video (46),67,False,False,normal,""
video (46),68,False,False,normal,""
video (46),69,False,False,normal,""
video (46),70,False,False,normal,""
video (46),71,False,False,normal,""
video (46),72,False,False,normal,""
